Rank,CCA3,Country,Capital,Continent,Population_2022,Population_2000,Population_1970,Area_km_2,Density_km_2,Growth_Rate,World_Population_Percentage
7,BRA,Brazil,Brasilia,South America,215313498,175873720,96369875,8515767,25.2841,1.0046,2.7
221,VGB,British Virgin Islands,Road Town,North America,31305,20104,9581,151,207.3179,1.0059,0
175,BRN,Brunei,Bandar Seri Begawan,Asia,449002,333926,133343,5765,77.8841,1.0081,0.01
108,BGR,Bulgaria,Sofia,Europe,6781953,8097691,8582950,110879,61.1654,0.9849,0.09
58,BFA,Burkina Faso,Ouagadougou,Africa,22673762,11882888,5611666,272967,83.0641,1.0259,0.28
78,BDI,Burundi,Bujumbura,Africa,12889576,6307659,3497834,27834,463.0874,1.027,0.16
73,KHM,Cambodia,Phnom Penh,Asia,16767842,12118841,6708525,181035,92.6221,1.0108,0.21
53,CMR,Cameroon,Yaounde,Africa,27914536,15091594,6452787,475442,58.7128,1.0263,0.35
39,CAN,Canada,Ottawa,North America,38454327,30683313,21434577,9984670,3.8513,1.0078,0.48
171,CPV,Cape Verde,Praia,Africa,593149,458251,287262,4033,147.0739,1.0089,0.01
205,CYM,Cayman Islands,George Town,North America,68706,39658,10533,264,260.25,1.0084,0
117,CAF,Central African Republic,Bangui,Africa,5579144,3759170,2067356,622984,8.9555,1.0224,0.07
69,TCD,Chad,N'Djamena,Africa,17723315,8259137,3667394,1284000,13.8032,1.0316,0.22
65,CHL,Chile,Santiago,South America,19603733,15351799,9820481,756102,25.9274,1.0057,0.25
1,CHN,China,Beijing,Asia,1425887337,1264099069,822534450,9706961,146.8933,1,17.88
28,COL,Colombia,Bogota,South America,51874024,39215135,20905254,1141748,45.4339,1.0069,0.65
163,COM,Comoros,Moroni,Africa,836774,536758,242351,1862,449.3953,1.0184,0.01
223,COK,Cook Islands,Avarua,Oceania,17011,15897,20470,236,72.0805,1.0005,0
124,CRI,Costa Rica,San José,North America,5180829,3979193,1855697,51100,101.3861,1.0052,0.06
130,HRV,Croatia,Zagreb,Europe,4030358,4548434,4492638,56594,71.2153,0.9927,0.05
85,CUB,Cuba,Havana,North America,11212191,11105791,8869636,109884,102.0366,0.9961,0.14
189,CUW,Curacao,Willemstad,North America,191163,141424,150385,444,430.5473,1.0043,0
158,CYP,Cyprus,Nicosia,Europe,1251488,948237,640804,9251,135.2814,1.0059,0.02
88,CZE,Czech Republic,Prague,Europe,10493986,10234710,9795744,78865,133.0627,0.9984,0.13
115,DNK,Denmark,Copenhagen,Europe,5882261,5340655,4922963,43094,136.4984,1.0048,0.07
160,DJI,Djibouti,Djibouti,Africa,1120849,742033,144379,23200,48.3125,1.0138,0.01
204,DMA,Dominica,Roseau,North America,72737,68346,68895,751,96.8535,1.0045,0
84,DOM,Dominican Republic,Santo Domingo,North America,11228821,8540791,4475871,48671,230.7087,1.01,0.14
15,COD,DR Congo,Kinshasa,Africa,99010212,48616317,20151733,2344858,42.2244,1.0325,1.24
67,ECU,Ecuador,Quito,South America,18001000,12626507,6172215,276841,65.0229,1.0114,0.23
14,EGY,Egypt,Cairo,Africa,110990103,71371371,34781986,1002450,110.7188,1.0158,1.39
